year,survey,prefix,filename,url,is_revision,has_dictionary,dictionary_filename,release
2018,Directory,HD,HD2018.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2018.zip,False,True,HD2018_Dict.zip,
2018,InstitutionalCharacteristics,IC,IC2018.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2018.zip,False,True,IC2018_Dict.zip,revised
2018,InstitutionalCharacteristics,IC,IC2018_AY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2018_AY.zip,False,True,IC2018_AY_Dict.zip,
2018,InstitutionalCharacteristics,IC,IC2018_PY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2018_PY.zip,False,True,IC2018_PY_Dict.zip,
2018,Completions,C,C2018_A.zip,https://nces.ed.gov/ipeds/datacenter/data/C2018_A.zip,False,True,C2018_A_Dict.zip,revised
2018,Completions,C,C2018_B.zip,https://nces.ed.gov/ipeds/datacenter/data/C2018_B.zip,False,True,C2018_B_Dict.zip,revised
2018,Completions,C,C2018_C.zip,https://nces.ed.gov/ipeds/datacenter/data/C2018_C.zip,False,True,C2018_C_Dict.zip,revised
2018,Completions,C,C2018DEP.zip,https://nces.ed.gov/ipeds/datacenter/data/C2018DEP.zip,False,True,C2018DEP_Dict.zip,revised
2018,FallEnrollment,EF,EFFY2018.zip,https://nces.ed.gov/ipeds/datacenter/data/EFFY2018.zip,False,True,EFFY2018_Dict.zip,revised
2018,FallEnrollment,EF,EF2018A.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2018A.zip,False,True,EF2018A_Dict.zip,revised
2018,FallEnrollment,EF,EF2018CP.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2018CP.zip,False,True,EF2018CP_Dict.zip,revised
2018,FallEnrollment,EF,EF2018B.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2018B.zip,False,True,EF2018B_Dict.zip,revised
2018,FallEnrollment,EF,EF2018C.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2018C.zip,False,True,EF2018C_Dict.zip,revised
2018,FallEnrollment,EF,EF2018D.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2018D.zip,False,True,EF2018D_Dict.zip,revised
2018,FallEnrollment,EF,EF2018A_DIST.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2018A_DIST.zip,False,True,EF2018A_DIST_Dict.zip,revised
2018,FallEnrollment,EFIA,EFIA2018.zip,https://nces.ed.gov/ipeds/datacenter/data/EFIA2018.zip,False,True,EFIA2018_Dict.zip,revised
2018,Finance,F,FLAGS2018.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2018.zip,False,True,FLAGS2018_Dict.zip,revised
2018,Finance,F,FLAGS2018.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2018.zip,False,True,FLAGS2018_Dict.zip,revised
2018,Finance,F,FLAGS2018.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2018.zip,False,True,FLAGS2018_Dict.zip,revised
2018,Finance,F,FLAGS2018.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2018.zip,False,True,FLAGS2018_Dict.zip,revised
2018,Finance,F,FLAGS2018.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2018.zip,False,True,FLAGS2018_Dict.zip,revised
2018,Finance,F,FLAGS2018.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2018.zip,False,True,FLAGS2018_Dict.zip,revised
2018,Finance,F,FLAGS2018.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2018.zip,False,True,FLAGS2018_Dict.zip,revised
