year,survey,prefix,filename,url,is_revision,has_dictionary,dictionary_filename,release
2022,Directory,HD,HD2022.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2022.zip,False,True,HD2022_Dict.zip,
2022,InstitutionalCharacteristics,IC,IC2022.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2022.zip,False,True,IC2022_Dict.zip,
2022,InstitutionalCharacteristics,IC,IC2022_AY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2022_AY.zip,False,True,IC2022_AY_Dict.zip,
2022,InstitutionalCharacteristics,IC,IC2022_PY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2022_PY.zip,False,True,IC2022_PY_Dict.zip,
2022,InstitutionalCharacteristics,IC,IC2022_CAMPUSES.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2022_CAMPUSES.zip,False,True,IC2022_CAMPUSES_Dict.zip,
2022,Completions,C,C2022_A.zip,https://nces.ed.gov/ipeds/datacenter/data/C2022_A.zip,False,True,C2022_A_Dict.zip,revised
2022,Completions,C,C2022_B.zip,https://nces.ed.gov/ipeds/datacenter/data/C2022_B.zip,False,True,C2022_B_Dict.zip,
2022,Completions,C,C2022_C.zip,https://nces.ed.gov/ipeds/datacenter/data/C2022_C.zip,False,True,C2022_C_Dict.zip,revised
2022,Completions,C,C2022DEP.zip,https://nces.ed.gov/ipeds/datacenter/data/C2022DEP.zip,False,True,C2022DEP_Dict.zip,revised
2022,FallEnrollment,EF,EFFY2022.zip,https://nces.ed.gov/ipeds/datacenter/data/EFFY2022.zip,False,True,EFFY2022_Dict.zip,revised
2022,FallEnrollment,EF,EFFY2022_DIST.zip,https://nces.ed.gov/ipeds/datacenter/data/EFFY2022_DIST.zip,False,True,EFFY2022_DIST_Dict.zip,revised
2022,FallEnrollment,EF,EF2022A.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,False,True,EF2022A_Dict.zip,revised
2022,FallEnrollment,EF,EF2022CP.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2022CP.zip,False,True,EF2022CP_Dict.zip,revised
2022,FallEnrollment,EF,EF2022B.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2022B.zip,False,True,EF2022B_Dict.zip,revised
2022,FallEnrollment,EF,EF2022C.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2022C.zip,False,True,EF2022C_Dict.zip,revised
