year,survey,prefix,filename,url,is_revision,has_dictionary,dictionary_filename,release
2020,Directory,HD,HD2020.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2020.zip,False,True,HD2020_Dict.zip,
2020,InstitutionalCharacteristics,IC,IC2020.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2020.zip,False,True,IC2020_Dict.zip,revised
2020,InstitutionalCharacteristics,IC,IC2020_AY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2020_AY.zip,False,True,IC2020_AY_Dict.zip,
2020,InstitutionalCharacteristics,IC,IC2020_PY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2020_PY.zip,False,True,IC2020_PY_Dict.zip,
2020,Completions,C,C2020_A.zip,https://nces.ed.gov/ipeds/datacenter/data/C2020_A.zip,False,True,C2020_A_Dict.zip,revised
2020,Completions,C,C2020_B.zip,https://nces.ed.gov/ipeds/datacenter/data/C2020_B.zip,False,True,C2020_B_Dict.zip,revised
2020,Completions,C,C2020_C.zip,https://nces.ed.gov/ipeds/datacenter/data/C2020_C.zip,False,True,C2020_C_Dict.zip,revised
2020,Completions,C,C2020DEP.zip,https://nces.ed.gov/ipeds/datacenter/data/C2020DEP.zip,False,True,C2020DEP_Dict.zip,revised
2020,FallEnrollment,EF,EFFY2020.zip,https://nces.ed.gov/ipeds/datacenter/data/EFFY2020.zip,False,True,EFFY2020_Dict.zip,revised
2020,FallEnrollment,EF,EFFY2020_DIST.zip,https://nces.ed.gov/ipeds/datacenter/data/EFFY2020_DIST.zip,False,True,EFFY2020_DIST_Dict.zip,revised
2020,FallEnrollment,EF,EF2020A.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2020A.zip,False,True,EF2020A_Dict.zip,revised
2020,FallEnrollment,EF,EF2020CP.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2020CP.zip,False,True,EF2020CP_Dict.zip,revised
2020,FallEnrollment,EF,EF2020B.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2020B.zip,False,True,EF2020B_Dict.zip,revised
2020,FallEnrollment,EF,EF2020C.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2020C.zip,False,True,EF2020C_Dict.zip,revised
2020,FallEnrollment,EF,EF2020D.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2020D.zip,False,True,EF2020D_Dict.zip,revised
2020,FallEnrollment,EF,EF2020A_DIST.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2020A_DIST.zip,False,True,EF2020A_DIST_Dict.zip,revised
2020,FallEnrollment,EFIA,EFIA2020.zip,https://nces.ed.gov/ipeds/datacenter/data/EFIA2020.zip,False,True,EFIA2020_Dict.zip,revised
2020,Finance,F,FLAGS2020.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2020.zip,False,True,FLAGS2020_Dict.zip,revised
2020,Finance,F,FLAGS2020.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2020.zip,False,True,FLAGS2020_Dict.zip,revised
2020,Finance,F,FLAGS2020.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2020.zip,False,True,FLAGS2020_Dict.zip,revised
2020,Finance,F,FLAGS2020.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2020.zip,False,True,FLAGS2020_Dict.zip,revised
