year,survey,prefix,filename,url,is_revision,has_dictionary,dictionary_filename,release
2016,Directory,HD,HD2016.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2016.zip,False,True,HD2016_Dict.zip,
2016,InstitutionalCharacteristics,IC,IC2016.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2016.zip,False,True,IC2016_Dict.zip,revised
2016,InstitutionalCharacteristics,IC,IC2016_AY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2016_AY.zip,False,True,IC2016_AY_Dict.zip,
2016,InstitutionalCharacteristics,IC,IC2016_PY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2016_PY.zip,False,True,IC2016_PY_Dict.zip,
2016,Completions,C,C2016_A.zip,https://nces.ed.gov/ipeds/datacenter/data/C2016_A.zip,False,True,C2016_A_Dict.zip,revised
2016,Completions,C,C2016_B.zip,https://nces.ed.gov/ipeds/datacenter/data/C2016_B.zip,False,True,C2016_B_Dict.zip,revised
2016,Completions,C,C2016_C.zip,https://nces.ed.gov/ipeds/datacenter/data/C2016_C.zip,False,True,C2016_C_Dict.zip,revised
2016,Completions,C,C2016DEP.zip,https://nces.ed.gov/ipeds/datacenter/data/C2016DEP.zip,False,True,C2016DEP_Dict.zip,revised
2016,FallEnrollment,EF,EFFY2016.zip,https://nces.ed.gov/ipeds/datacenter/data/EFFY2016.zip,False,True,EFFY2016_Dict.zip,revised
2016,FallEnrollment,EF,EF2016A.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2016A.zip,False,True,EF2016A_Dict.zip,revised
2016,FallEnrollment,EF,EF2016CP.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2016CP.zip,False,True,EF2016CP_Dict.zip,revised
2016,FallEnrollment,EF,EF2016B.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2016B.zip,False,True,EF2016B_Dict.zip,revised
2016,FallEnrollment,EF,EF2016C.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2016C.zip,False,True,EF2016C_Dict.zip,revised
2016,FallEnrollment,EF,EF2016D.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2016D.zip,False,True,EF2016D_Dict.zip,revised
2016,FallEnrollment,EF,EF2016A_DIST.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2016A_DIST.zip,False,True,EF2016A_DIST_Dict.zip,revised
2016,FallEnrollment,EFIA,EFIA2016.zip,https://nces.ed.gov/ipeds/datacenter/data/EFIA2016.zip,False,True,EFIA2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F,FLAGS2016.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip,False,True,FLAGS2016_Dict.zip,revised
2016,Finance,F1516,F1516_F1A.zip,https://nces.ed.gov/ipeds/datacenter/data/F1516_F1A.zip,False,True,F1516_F1A_Dict.zip,revised
2016,Finance,F1516,F1516_F2.zip,https://nces.ed.gov/ipeds/datacenter/data/F1516_F2.zip,False,True,F1516_F2_Dict.zip,revised
2016,Finance,F1516,F1516_F3.zip,https://nces.ed.gov/ipeds/datacenter/data/F1516_F3.zip,False,True,F1516_F3_Dict.zip,revised
2016,StudentFinancialAid,SFA,SFA1516.zip,https://nces.ed.gov/ipeds/datacenter/data/SFA1516.zip,False,True,SFA1516_Dict.zip,revised
2016,StudentFinancialAid,SFA,SFAV1516.zip,https://nces.ed.gov/ipeds/datacenter/data/SFAV1516.zip,False,True,SFAV1516_Dict.zip,revised
2016,GraduationRates,GR,GR2016.zip,https://nces.ed.gov/ipeds/datacenter/data/GR2016.zip,False,True,GR2016_Dict.zip,revised
2016,GraduationRates,GR,GR2016_L2.zip,https://nces.ed.gov/ipeds/datacenter/data/GR2016_L2.zip,False,True,GR2016_L2_Dict.zip,revised
2016,GraduationRates,GR,GR200_16.zip,https://nces.ed.gov/ipeds/datacenter/data/GR200_16.zip,False,True,GR200_16_Dict.zip,revised
2016,GraduationRates,PE,GR2016_PELL_SSL.zip,https://nces.ed.gov/ipeds/datacenter/data/GR2016_PELL_SSL.zip,False,True,GR2016_PELL_SSL_Dict.zip,revised
2016,HumanResources,SAL,SAL2016_IS.zip,https://nces.ed.gov/ipeds/datacenter/data/SAL2016_IS.zip,False,True,SAL2016_IS_Dict.zip,revised
2016,HumanResources,SAL,SAL2016_NIS.zip,https://nces.ed.gov/ipeds/datacenter/data/SAL2016_NIS.zip,False,True,SAL2016_NIS_Dict.zip,revised
2016,HumanResources,S,S2016_OC.zip,https://nces.ed.gov/ipeds/datacenter/data/S2016_OC.zip,False,True,S2016_OC_Dict.zip,revised
2016,HumanResources,S,S2016_SIS.zip,https://nces.ed.gov/ipeds/datacenter/data/S2016_SIS.zip,False,True,S2016_SIS_Dict.zip,revised
2016,HumanResources,S,S2016_IS.zip,https://nces.ed.gov/ipeds/datacenter/data/S2016_IS.zip,False,True,S2016_IS_Dict.zip,revised
2016,HumanResources,S,S2016_NH.zip,https://nces.ed.gov/ipeds/datacenter/data/S2016_NH.zip,False,True,S2016_NH_Dict.zip,revised
2016,HumanResources,EAP,EAP2016.zip,https://nces.ed.gov/ipeds/datacenter/data/EAP2016.zip,False,True,EAP2016_Dict.zip,revised
