target_var
year
UNITID
reporting_unitid
dir_opeid
dir_state_abbr
ic_sector
ic_control
ic_institutional_category
ic_degree_granting
dir_zip
dir_city
dir_opeflag
ic_active_in_year
ic_urbanicity
ic_calendar_system
dir_csa_code
dir_cbsa_code
dir_cbsa_type
dir_longitude
dir_latitude
dir_county_fips
dir_county_name
dir_congress_district
dir_multi_campus_org
dir_multi_campus_id
dir_ein
ic_open_public
ic_highest_degree_offered
ic_highest_level_offering
ic_ug_offering
ic_gr_offering
ic_affiliation
ic_public_control_primary
ic_public_control_secondary
ic_religious_affiliation
ic_hbcu_flag
ic_tribal_flag
ic_open_admissions
ic_promise_program_flag
