target_var
year
UNITID
reporting_unitid
fin_total_rev_invest_return
fin_tuition_fees_net
fin_sales_ed_activities
fin_auxiliary_rev
fin_hospital_rev
fin_investment_return
fin_scholarships_fellowships_exp
fin_total_exp
fin_allowances_tuition
fin_endowment_assets_boy_eoy
