target_var
year
UNITID
reporting_unitid
adm_open_admissions
adm_applicants_total
adm_admits_total
adm_enrolled_ftft
adm_sat_submit_count
adm_sat_submit_pct
adm_act_submit_count
adm_act_submit_pct
